gu,dong,title,price,time,link,status
강남구,청담동,닌텐도 스위치 모여봐요 동물의 숲,35000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%AA%A8%EC%97%AC%EB%B4%90%EC%9A%94-%EB%8F%99%EB%AC%BC%EC%9D%98-%EC%88%B2-2s3zh8kd27tx/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 마인크레프트,25000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A7%88%EC%9D%B8%ED%81%AC%EB%A0%88%ED%94%84%ED%8A%B8-7fgxk2nm13in/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 본체,70000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%B3%B8%EC%B2%B4-6ryi5op8ddmp/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치용 피크민4 새제품 판매합니다.,56000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98%EC%9A%A9-%ED%94%BC%ED%81%AC%EB%AF%BC4-%EC%83%88%EC%A0%9C%ED%92%88-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-uh9g5b62hza7/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치용 마리오파티 잼버리 밀봉 새제품 판매,57000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98%EC%9A%A9-%EB%A7%88%EB%A6%AC%EC%98%A4%ED%8C%8C%ED%8B%B0-%EC%9E%BC%EB%B2%84%EB%A6%AC-%EB%B0%80%EB%B4%89-%EC%83%88%EC%A0%9C%ED%92%88-%ED%8C%90%EB%A7%A4-2jbdpkpp2gmk/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 프로콘 팝니다,41000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%ED%94%84%EB%A1%9C%EC%BD%98-%ED%8C%9D%EB%8B%88%EB%8B%A4-c8hn285veznw/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 OLED 풀박스,230000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%92%80%EB%B0%95%EC%8A%A4-tj3pez3zq3mx/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,새상품컨디션 닌텐도 스위치 OLED 모델,320000.0,,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88%EC%BB%A8%EB%94%94%EC%85%98-%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%EB%AA%A8%EB%8D%B8-e7moffepopjr/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,일주일 사용한 미사용급 닌텐도 스위치 oled 팝니다,350000.0,,https://www.daangn.com/kr/buy-sell/%EC%9D%BC%EC%A3%BC%EC%9D%BC-%EC%82%AC%EC%9A%A9%ED%95%9C-%EB%AF%B8%EC%82%AC%EC%9A%A9%EA%B8%89-%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%8C%9D%EB%8B%88%EB%8B%A4-g3jnvzdnpsdb/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 OLED 팝니다,270000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%8C%9D%EB%8B%88%EB%8B%A4-vmc35yrsf5z6/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 포켓몬스터 바이올렛 익스펜션 합본,70000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%ED%8F%AC%EC%BC%93%EB%AA%AC%EC%8A%A4%ED%84%B0-%EB%B0%94%EC%9D%B4%EC%98%AC%EB%A0%9B-%EC%9D%B5%EC%8A%A4%ED%8E%9C%EC%85%98-%ED%95%A9%EB%B3%B8-fckaxe6xyyx3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 링 피트 어드벤처,54000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A7%81-%ED%94%BC%ED%8A%B8-%EC%96%B4%EB%93%9C%EB%B2%A4%EC%B2%98-pczgtmj5tcru/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,청담동,85000.0,,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EA%B0%9C%EB%B4%89-%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%ED%8F%AC%EC%BC%93%EB%AA%AC%EC%8A%A4%ED%84%B0-%EC%8A%A4%EC%B9%BC%EB%A0%9B-dlc-%EC%99%84%EC%A0%84%ED%8C%90-%ED%95%A9%EB%B3%B8-6yfsat44q4e5/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도스위치 메트로이드 드레드,30000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A9%94%ED%8A%B8%EB%A1%9C%EC%9D%B4%EB%93%9C-%EB%93%9C%EB%A0%88%EB%93%9C-e1rzpc123k7s/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 포켓몬스터 브릴리언트다이아몬드,30000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%ED%8F%AC%EC%BC%93%EB%AA%AC%EC%8A%A4%ED%84%B0-%EB%B8%8C%EB%A6%B4%EB%A6%AC%EC%96%B8%ED%8A%B8%EB%8B%A4%EC%9D%B4%EC%95%84%EB%AA%AC%EB%93%9C-ggwm1po4fnng/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 링피트 게임,26000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A7%81%ED%94%BC%ED%8A%B8-%EA%B2%8C%EC%9E%84-9ss9ugc76es3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 슈퍼 스매시브라더스 얼티밋,42000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%8A%88%ED%8D%BC-%EC%8A%A4%EB%A7%A4%EC%8B%9C%EB%B8%8C%EB%9D%BC%EB%8D%94%EC%8A%A4-%EC%96%BC%ED%8B%B0%EB%B0%8B-v49pkvv4shyd/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치용 마리오파티 잼버리 새제품 판매합니다.,58000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98%EC%9A%A9-%EB%A7%88%EB%A6%AC%EC%98%A4%ED%8C%8C%ED%8B%B0-%EC%9E%BC%EB%B2%84%EB%A6%AC-%EC%83%88%EC%A0%9C%ED%92%88-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-o2hxmtgo4858/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 구형 판매합니다,100000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EA%B5%AC%ED%98%95-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-vd6b9sjxpdho/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 링피트,33000.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%A7%81%ED%94%BC%ED%8A%B8-uccvszauk35y/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
강남구,청담동,닌텐도 스위치 제노 블레이드2,10.0,,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%A0%9C%EB%85%B8-%EB%B8%94%EB%A0%88%EC%9D%B4%EB%93%9C2-ev8rmkhzv9dc/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료
