gu,dong,title,link,status,is_OLED,is_Lite,is_Edition,price_clean,content,posted_time,is_Set
강남구,청담동,닌텐도 스위치 18년도 풀박스 판매합니다,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-18%EB%85%84%EB%8F%84-%ED%92%80%EB%B0%95%EC%8A%A4-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-u7q7wvg48yf3/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,185000,닌텐도 스위치 2018 풀박스  자세한 상태는 사진으로 확인해주세요  (사용감 적어요)   쿨거래 직거래 반값택배 선호합니당,2024-12-15,True
강남구,청담동,닌텐도 스위치 새것 박스오픈안함 (HAC-001) 가격 인하 급매,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EC%83%88%EA%B2%83-%EB%B0%95%EC%8A%A4%EC%98%A4%ED%94%88%EC%95%88%ED%95%A8-hac-001-%EA%B0%80%EA%B2%A9-%EC%9D%B8%ED%95%98-%EA%B8%89%EB%A7%A4-wfdfipdtvu73/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,280000,"닌텐도 스위치 완전 새것 박스 오픈안한 채로 일괄 28만원에 판매합니다. 32만원에 올렸다가 출국일 다가와서 낮춰서 판매합니다.  같이 샀던 게임들 (사진 참고) 전부 그냥 같이 드릴게요.   쿠팡에서 오늘자로 확인해보니 동일모델 (HAC-001) 현재가 35만원 판매 중입니다 (https://link.coupang.com/a/b22QoG). 훨씬 저렴하다고 보시면 됩니다.  강남구청역, 반포역 등 강남 서초 인근 거래 가능합니다.",2024-12-05,True
강남구,청담동,닌텐도스위치(배터리개선)+조이콘세트,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%B0%B0%ED%84%B0%EB%A6%AC%EA%B0%9C%EC%84%A0-%EC%A1%B0%EC%9D%B4%EC%BD%98%EC%84%B8%ED%8A%B8-c4vezrm8dt9v/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,250000,"아이가 커서 다른 게임을 많이해서 판매합니다.  닌텐도스위치 본체(배터리개선) 21년 생산입니다. tv용으로만 써서 상태 좋습니다. 조이콘은 생활기스 정도 감안하시면 됩니다. 박스, 비늴 모두 있습니다. 조이콘 및 충전겸용 패드 추가 구입하였습니다.  구입하시면 fifa는 같이 드립니다.  *게임 타이틀은 따로 판매합니다. -닌텐도스위치스포츠 : 45,000원 -포켓몬실드 : 35,000원 -별의커비 : 40,000원 -슈퍼마리오파티 : 50,000원 -슈퍼마리오카트 : 40,000원 -짱구 탄광마을 : 40,000원",2024-12-04,True
강남구,청담동,닌텐도스위치(배터리개선판) 및 게임칩/산리오아미보,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%B0%B0%ED%84%B0%EB%A6%AC%EA%B0%9C%EC%84%A0%ED%8C%90-%EB%B0%8F-%EA%B2%8C%EC%9E%84%EC%B9%A9-%EC%82%B0%EB%A6%AC%EC%98%A4%EC%95%84%EB%AF%B8%EB%B3%B4-xmpy2kwfw23n/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,185000,"- 닌텐도스위치(배터리개선판) 21년 11월 제품    왼쪽 조이콘 흠집 약간 있음 나머진 모두 깨끗함    박스제외 구성품 모두있음    가격: 185,000  - 별의커비 디스커버리     가격: 45,000  - 젤다의전설 티어스오브킹덤    가격: 45,000  - 마리오파티 슈퍼스타즈    가격: 40,000  - 닌텐도스위치 스포츠    가격: 40,000  - 모여봐요 동물의숲 (판매완료)    가격: 45,000  - 모동숲 산리오 아미보카드 풀세트    가격: 25,000  직거래만 합니다 장소: 강남구청역",2024-12-02,True
강남구,청담동,닌텐도 스위치 배터리 개선판 팝니다.,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%B0%B0%ED%84%B0%EB%A6%AC-%EA%B0%9C%EC%84%A0%ED%8C%90-%ED%8C%9D%EB%8B%88%EB%8B%A4-i4n6rucrr159/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,180000,닌텐도 스위치 배터리 개선판 풀구성품 팝니다. 액정커버 사자마자 강화유리 붙여서 사용해서 기스 아예 없고 본체도 비교적 깨끗합니다. 조이콘 스틱 쏠림 없습니다. 박스만 없고 구성품 모두 있습니다. 학동사거리 직거래 우선으로 합니다.,2024-12-01,True
강남구,청담동,"(마지막 가격) 닌텐도 스위치 배터리 개선판+게임 5종 동숲,마카,젤다,몬헌,마오",https://www.daangn.com/kr/buy-sell/%EB%A7%88%EC%A7%80%EB%A7%89-%EA%B0%80%EA%B2%A9-%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%B0%B0%ED%84%B0%EB%A6%AC-%EA%B0%9C%EC%84%A0%ED%8C%90-%EA%B2%8C%EC%9E%84-5%EC%A2%85-%EB%8F%99%EC%88%B2-%EB%A7%88%EC%B9%B4-%EC%A0%A4%EB%8B%A4-%EB%AA%AC%ED%97%8C-%EB%A7%88%EC%98%A4-qdpjqj1o3eby/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,440000,"닌텐도 스위치 배터리 개선판 풀세트(박스,구성품,닌텐도 파우치) 화면에 보호필름 있습니다. 인기게임5종 동물의숲  젤다의전설 야숨 마리오카트8 마리오 오딧세이  몬스터헌터 라이즈 칩만따로 판매 안합니다.  직거래만 선호합니다. 학동사거리 or 언남11길 가능합니다.",2024-11-27,True
강남구,청담동,닌텐도 스위치 라이트 포켓몬 에디션 팝니다!,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-%EB%9D%BC%EC%9D%B4%ED%8A%B8-%ED%8F%AC%EC%BC%93%EB%AA%AC-%EC%97%90%EB%94%94%EC%85%98-%ED%8C%9D%EB%8B%88%EB%8B%A4-ytfy9b7aa4ym/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,True,True,140000,"2년 전에 샀지만 제대로 사용한 건 7개월 정도 됩니다. 제가 모든 걸 잘 관리하는 편이라 버튼 조작감도 좋고 화면 기스가 없습니다. 스위치는 이미 초기화된 상태이고 따로 저장되어 있는 게임은 없습니다. 충전기는 있지만 해외에서 구매한 거라 콘셉트가 한국거랑 안 맞습니다. 그래서 한국거랑 맞는 돼지코도 무료로 제공해드리겠습니다. 동숲2 찌라시가 있으니 쟁여놓고 나중에 쓰셔도 좋을 듯 하네요!   거래장소는 청담역, 강남구청역, 삼성역으로 희망하고 변경은 가능합니다.",2024-11-26,False
강남구,청담동,닌텐도 스위치 oled 팝니다,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84-%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%ED%8C%9D%EB%8B%88%EB%8B%A4-6w6j98o3j2xe/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,290000,닌텐도 스위치 oled 입니다. 게임을 좋아하지 않아서 1-2달 쓰고 깨끗하게 보관해뒀습니다. 상태 좋고 박스도 있습니다. 다만 왼쪽 조이스틱부분 마모되었습니다. 이 부분 꼭 참고하여 챗 부탁드립니다,2024-11-15,False
강남구,청담동,닌텐도스위치그레이 배터리개선판,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84%EC%8A%A4%EC%9C%84%EC%B9%98%EA%B7%B8%EB%A0%88%EC%9D%B4-%EB%B0%B0%ED%84%B0%EB%A6%AC%EA%B0%9C%EC%84%A0%ED%8C%90-he8nm9cuocc5/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,False,False,False,220000,닌텐도 스위치 그레이 컬러 팔아요오 8월 3일에 일렉트로 마트에서 구매했습니다! 3일정도 하루에 세시간씩 정도만 하고 건들지도 않았어요 충전기랑 본체만 사용했고 다른 부품들 꺼내보기만 하고 다시 넣었습니다! 사용감 전혀없고 기스나 흠 하나도 없어욤,2024-11-15,False
강남구,청담동,닌텐도스위치 OLED 미개봉. 32만.,https://www.daangn.com/kr/buy-sell/%EB%8B%8C%ED%85%90%EB%8F%84%EC%8A%A4%EC%9C%84%EC%B9%98-oled-%EB%AF%B8%EA%B0%9C%EB%B4%89-32%EB%A7%8C-pc741hwbx8i5/?in=%EC%B2%AD%EB%8B%B4%EB%8F%99-386,판매완료,True,False,False,320000,닌텐도스위치 OLED 미개봉. 32만. 사용할 일이 미개봉상품입니다.  직거래는 청담사거리 근처나 강남구청역 가능합니다. 구매의향있으시면 댓글 남겨주셔요~!,2024-10-27,False
